S.No.,Base Form,Past Form,Past Participle Form,s / es/ ies
1,abash,abashed,abashed,abashes
2,abate,abated,abated,abates
3,abide,abode,abode,abides
4,absorb,absorbed,absorbed,absorbs
5,accept,accepted,accepted,accepts
6,accompany,accompanied,accompanied,accompanies
7,ache,ached,ached,aches
8,achieve,achieved,achieved,achieves
9,acquire,acquired,acquired,acquires
10,act,acted,acted,acts
11,add,added,added,adds
12,address,addressed,addressed,addresses
13,adjust,adjusted,adjusted,adjusts
14,admire,admired,admired,admires
15,admit,admitted,admitted,admits
16,advise,advised,advised,advises
17,afford,afforded,afforded,affords
18,agree,agreed,agreed,agrees
19,alight,alit,alit,alights
20,allow,allowed,allowed,allows
21,animate,animated,animated,animates
22,announce,announced,announced,announces
23,answer,answered,answered,answers
24,apologize,apologized,apologized,apologizes
25,appear,appeared,appeared,appears
26,applaud,applauded,applauded,applauds
27,apply,applied,applied,applies
28,approach,approached,approached,approaches
29,approve,approved,approved,approves
30,argue,argued,argued,argues
31,arise,arose,arisen,arises
32,arrange,arranged,arranged,arranges
33,arrest,arrested,arrested,arrests
34,ask,asked,asked,asks
35,assert,asserted,asserted,asserts
36,assort,assorted,assorted,assorts
37,astonish,astonished,astonished,astonishes
38,attack,attacked,attacked,attacks
39,attend,attended,attended,attends
40,attract,attracted,attracted,attracts
41,audit,audited,audited,audits
42,avoid,avoided,avoided,avoids
43,awake,awoke,awoken,awakes
44,bang,banged,banged,bangs
45,banish,banished,banished,banishes
46,bash,bashed,bashed,bashes
47,bat,batted,batted,bats
48,"be (am,are)",was / were,been,is
49,bear,bore,born,bears
50,bear,bore,borne,bears
51,beat,beat,beaten,beats
52,beautify,beautified,beautified,beautifies
53,become,became,become,becomes
54,befall,befell,befallen,befalls
55,beg,begged,begged,begs
56,begin,began,begun,begins
57,behave,behaved,behaved,behaves
58,behold,beheld,beheld,beholds
59,believe,believed,believed,believes
60,belong,belonged,belonged,belongs
61,bend,bent,bent,bends
62,bereave,bereft,bereft,bereaves
63,beseech,besought,besought,beseeches
64,bet,bet,bet,bets
65,betray,betrayed,betrayed,betrays
66,bid,bade,bidden,bids
67,bid,bid,bid,bids
68,bind,bound,bound,binds
69,bite,bit,bitten,bites
70,bleed,bled,bled,bleeds
71,bless,blessed,blessed,blesses
72,blossom,blossomed,blossomed,blossoms
73,blow,blew,blown,blows
74,blur,blurred,blurred,blurs
75,blush,blushed,blushed,blushes
76,board,boarded,boarded,boards
77,boast,boasted,boasted,boasts
78,boil,boiled,boiled,boils
79,bow,bowed,bowed,bows
80,box,boxed,boxed,boxes
81,bray,brayed,brayed,brays
82,break,broke,broken,breaks
83,breathe,breathed,breathed,breathes
84,breed,bred,bred,breeds
85,bring,brought,brought,brings
86,broadcast,broadcast,broadcast,broadcasts
87,brush,brushed,brushed,brushes
88,build,built,built,builds
89,burn,burnt,burnt,burns
90,burst,burst,burst,bursts
91,bury,buried,buried,buries
92,bust,bust,bust,busts
93,buy,bought,bought,buys
94,buzz,buzzed,buzzed,buzzes
95,calculate,calculated,calculated,calculates
96,call,called,called,calls
97,canvass,canvassed,canvassed,canvasses
98,capture,captured,captured,captures
99,caress,caressed,caressed,caresses
100,carry,carried,carried,carries
101,carve,carved,carved,carves
102,cash,cashed,cashed,cashes
103,cast,cast,cast,casts
104,catch,caught,caught,catches
105,cause,caused,caused,causes
106,cease,ceased,ceased,ceases
107,celebrate,celebrated,celebrated,celebrates
108,challenge,challenged,challenged,challenges
109,change,changed,changed,changes
110,charge,charged,charged,charges
111,chase,chased,chased,chases
112,chat,chatted,chatted,chats
113,check,checked,checked,checks
114,cheer,cheered,cheered,cheers
115,chew,chewed,chewed,chews
116,chide,chid,chid/chidden,chides
117,chip,chipped,chipped,chips
118,choke,choked,choked,chokes
119,choose,chose,chosen,chooses
120,classify,classified,classified,classifies
121,clean,cleaned,cleaned,cleans
122,cleave,clove/cleft,cloven/cleft,cleaves
123,click,clicked,clicked,clicks
124,climb,climbed,climbed,climbs
125,cling,clung,clung,clings
126,close,closed,closed,closes
127,clothe,clad,clad,clothes
128,clutch,clutched,clutched,clutches
129,collapse,collapsed,collapsed,collapses
130,collect,collected,collected,collects
131,colour,coloured,coloured,colours
132,come,came,come,comes
133,comment,commented,commented,comments
134,compare,compared,compared,compares
135,compel,compelled,compelled,compels
136,compete,competed,competed,competes
137,complain,complained,complained,complains
138,complete,completed,completed,completes
139,conclude,concluded,concluded,concludes
140,conduct,conducted,conducted,conducts
141,confess,confessed,confessed,confesses
142,confine,confined,confined,confines
143,confiscate,confiscated,confiscated,confiscates
144,confuse,confused,confused,confuses
145,congratulate,congratulated,congratulated,congratulates
146,connect,connected,connected,connects
147,connote,connoted,connoted,connotes
148,conquer,conquered,conquered,conquers
149,consecrate,consecrated,consecrated,consecrates
150,consent,consented,consented,consents
151,conserve,conserved,conserved,conserves
152,consider,considered,considered,considers
153,consign,consigned,consigned,consigns
154,consist,consisted,consisted,consists
155,console,consoled,consoled,consoles
156,consort,consorted,consorted,consorts
157,conspire,conspired,conspired,conspires
158,constitute,constituted,constituted,constitutes
159,constrain,constrained,constrained,constrains
160,construct,constructed,constructed,constructs
161,construe,construed,construed,construes
162,consult,consulted,consulted,consults
163,contain,contained,contained,contains
164,contemn,contemned,contemned,contemns
165,contend,contended,contended,contends
166,contest,contested,contested,contests
167,continue,continued,continued,continues
168,contract,contracted,contracted,contracts
169,contradict,contradicted,contradicted,contradicts
170,contrast,contrasted,contrasted,contrasts
171,contribute,contributed,contributed,contributes
172,contrive,contrived,contrived,contrives
173,control,controlled,controlled,controls
174,convene,convened,convened,convenes
175,converge,converged,converged,converges
176,converse,conversed,conversed,converses
177,convert,converted,converted,converts
178,convey,conveyed,conveyed,conveys
179,convict,convicted,convicted,convicts
180,convince,convinced,convinced,convinces
181,coo,cooed,cooed,coos
182,cook,cooked,cooked,cooks
183,cool,cooled,cooled,cools
184,co-operate,co-operated,co-operated,co-operates
185,cope,coped,cope,copes
186,copy,copied,copied,copies
187,correct,corrected,corrected,corrects
188,correspond,corresponded,corresponded,corresponds
189,corrode,corroded,corroded,corrodes
190,corrupt,corrupted,corrupted,corrupts
191,cost,cost,cost,costs
192,cough,coughed,coughed,coughs
193,counsel,counselled,counselled,counsels
194,count,counted,counted,counts
195,course,coursed,coursed,courses
196,cover,covered,covered,covers
197,cower,cowered,cowered,cowers
198,crack,cracked,cracked,cracks
199,crackle,crackled,crackled,crackles
200,crash,crashed,crashed,crashes
201,crave,craved,craved,craves
202,create,created,created,creates
203,creep,crept,crept,creeps
204,crib,cribbed,cribbed,cribs
205,cross,crossed,crossed,crosses
206,crowd,crowded,crowded,crowds
207,crush,crushed,crushed,crushes
208,cry,cried,cried,cries
209,curb,curbed,curbed,curbs
210,cure,cured,cured,cures
211,curve,curved,curved,curves
212,cut,cut,cut,cuts
213,cycle,cycled,cycled,cycles
214,damage,damaged,damaged,damages
215,damp,damped,damped,damps
216,dance,danced,danced,dances
217,dare,dared,dared,dares
218,dash,dashed,dashed,dashes
219,dazzle,dazzled,dazzled,dazzles
220,deal,dealt,dealt,deals
221,decay,decayed,decayed,decays
222,decide,decided,decided,decides
223,declare,declared,declared,declares
224,decorate,decorated,decorated,decorates
225,decrease,decreased,decreased,decreases
226,dedicate,dedicated,dedicated,dedicates
227,delay,delayed,delayed,delays
228,delete,deleted,deleted,deletes
229,deny,denied,denied,denies
230,depend,depended,depended,depends
231,deprive,deprived,deprived,deprives
232,derive,derived,derived,derives
233,describe,described,described,describes
234,desire,desired,desired,desires
235,destroy,destroyed,destroyed,destroys
236,detach,detached,detached,detaches
237,detect,detected,detected,detects
238,determine,determined,determined,determines
239,develop,developed,developed,develops
240,die,died,died,dies
241,differ,differed,differed,differs
242,dig,dug,dug,digs
243,digest,digested,digested,digests
244,dim,dimmed,dimmed,dims
245,diminish,diminished,diminished,diminishes
246,dine,dined,dined,dines
247,dip,dipped,dipped,dips
248,direct,directed,directed,directs
249,disappear,disappeared,disappeared,disappears
250,discover,discovered,discovered,discovers
251,discuss,discussed,discussed,discusses
252,disobey,disobeyed,disobeyed,disobeys
253,display,displayed,displayed,displays
254,dispose,disposed,disposed,disposes
255,distribute,distributed,distributed,distributes
256,disturb,disturbed,disturbed,disturbs
257,disuse,disused,disused,disuses
258,dive,dived ,dived,dives
259,divide,divided,divided,divides
260,do,did,done,does
261,donate,donated,donated,donates
262,download,downloaded,downloaded,downloads
263,drag,dragged,dragged,drags
264,draw,drew,drawn,draws
265,dream,dreamt,dreamt,dreams
266,dress,dressed,dressed,dresses
267,drill,drilled,drilled,drills
268,drink,drank,drunk,drinks
269,drive,drove,driven,drives
270,drop,dropped,dropped,drops
271,dry,dried,dried,dries
272,dump,dumped,dumped,dumps
273,dwell,dwelt,dwelt,dwells
274,dye,dyed,dyed,dyes
275,earn,earned,earned,earns
276,eat,ate,eaten,eats
277,educate,educated,educated,educates
278,empower,empowered,empowered,empowers
279,empty,emptied,emptied,empties
280,encircle,encircled,encircled,encircles
281,encourage,encouraged,encouraged,encourages
282,encroach,encroached,encroached,encroaches
283,endanger,endangered,endangered,endangers
284,endorse,endorsed,endorsed,endorses
285,endure,endured,endured,endures
286,engrave,engraved,engraved,engraves
287,enjoy,enjoyed,enjoyed,enjoys
288,enlarge,enlarged,enlarged,enlarges
289,enlighten,enlightened,enlightened,enlightens
290,enter,entered,entered,enters
291,envy,envied,envied,envies
292,erase,erased,erased,erases
293,escape,escaped,escaped,escapes
294,evaporate,evaporated,evaporated,evaporates
295,exchange,exchanged,exchanged,exchanges
296,exclaim,exclaimed,exclaimed,exclaims
297,exclude,excluded,excluded,excludes
298,exist,existed,existed,exists
299,expand,expanded,expanded,expands
300,expect,expected,expected,expects
301,explain,explained,explained,explains
302,explore,explored,explored,explores
303,express,expressed,expressed,expresses
304,extend,extended,extended,extends
305,eye,eyed,eyed,eyes
306,face,faced,faced,faces
307,fail,failed,failed,fails
308,faint,fainted,fainted,faints
309,fall,fell,fallen,falls
310,fan,fanned,fanned,fans
311,fancy,fancied,fancied,fancies
312,favour,favoured,favoured,favours
313,fax,faxed,faxed,faxes
314,feed,fed,fed,feeds
315,feel,felt,felt,feels
316,ferry,ferried,ferried,ferries
317,fetch,fetched,fetched,fetches
318,fight,fought,fought,fights
319,fill,filled,filled,fills
320,find,found,found,finds
321,finish,finished,finished,finishes
322,fish,fished,fished,fishes
323,fit,fit/fitted,fit/fitted,fits
324,fix,fixed,fixed,fixes
325,fizz,fizzed,fizzed,fizzes
326,flap,flapped,flapped,flaps
327,flash,flashed,flashed,flashes
328,flee,fled,fled,flees
329,fling,flung,flung,flings
330,float,floated,floated,floats
331,flop,flopped,flopped,flops
332,fly,flew,flown,flies
333,fold,folded,folded,folds
334,follow,followed,followed,follows
335,forbid,forbade,forbidden,forbids
336,force,forced,forced,forces
337,forecast,forecast,forecast,forecasts
338,foretell,foretold,foretold,foretells
339,forget,forgot,forgotten,forgets
340,forgive,forgave,forgiven,forgives
341,forlese,forlore,forlorn,forlese
342,form,formed,formed,forms
343,forsake,forsook,forsaken,forsakes
344,found,founded,founded,founds
345,frame,framed,framed,frames
346,free,freed,freed,frees
347,freeze,froze,frozen,freezes
348,frighten,frightened,frightened,frightens
349,fry,fried,fried,fries
350,fulfil,fulfilled,fulfilled,fulfils
351,gag,gagged,gagged,gags
352,gain,gained,gained,gains
353,gainsay,gainsaid,gainsaid,gainsays
354,gash,gashed,gashed,gashes
355,gaze,gazed,gazed,gazes
356,get,got,got,gets
357,give,gave,given,gives
358,glance,glanced,glanced,glances
359,glitter,glittered,glittered,glitters
360,glow,glowed,glowed,glows
361,go,went,gone,goes
362,google,googled,googled,googles
363,govern,governed,governed,governs
364,grab,grabbed,grabbed,grabs
365,grade,graded,graded,grades
366,grant,granted,granted,grants
367,greet,greeted,greeted,greets
368,grind,ground,ground,grinds
369,grip,gripped,gripped,grips
370,grow,grew,grown,grows
371,guard,guarded,guarded,guards
372,guess,guessed,guessed,guesses
373,guide,guided,guided,guides
374,handle,handled,handled,handles
375,hang,hung,hung,hangs
376,happen,happened,happened,happens
377,harm,harmed,harmed,harms
378,hatch,hatched,hatched,hatches
379,hate,hated,hated,hates
380,have,had,had,has
381,heal,healed,healed,heals
382,hear,heard,heard,hears
383,heave,hove,hove,heaves
384,help,helped,helped,helps
385,hew,hewed,hewn,hews
386,hide,hid,hidden,hides
387,hinder,hindered,hindered,hinders
388,hiss,hissed,hissed,hisses
389,hit,hit,hit,hits
390,hoax,hoaxed,hoaxed,hoaxes
391,hold,held,held,holds
392,hop,hopped,hopped,hops
393,hope,hoped,hoped,hopes
394,horrify,horrified,horrified,horrifies
395,hug,hugged,hugged,hugs
396,hum,hummed,hummed,hums
397,humiliate,humiliated,humiliated,humiliates
398,hunt,hunted,hunted,hunts
399,hurl,hurled,hurled,hurls
400,hurry,hurried,hurried,hurries
401,hurt,hurt,hurt,hurts
402,hush,hushed,hushed,hushes
403,hustle,hustled,hustled,hustles
404,hypnotize,hypnotized,hypnotized,hypnotizes
405,idealize,idealized,idealized,idealizes
406,identify,identified,identified,identifies
407,idolize,idolized,idolized,idolizes
408,ignite,ignited,ignited,ignites
409,ignore,ignored,ignored,ignores
410,ill-treat,ill-treated,ill-treated,ill-treats
411,illuminate,illuminated,illuminated,illuminates
412,illumine,illumined,illumined,illumines
413,illustrate,illustrated,illustrated,illustrates
414,imagine,imagined,imagined,imagines
415,imbibe,imbibed,imbibed,imbibes
416,imitate,imitated,imitated,imitates
417,immerse,immersed,immersed,immerses
418,immolate,immolated,immolated,immolates
419,immure,immured,immured,immures
420,impair,impaired,impaired,impairs
421,impart,imparted,imparted,imparts
422,impeach,impeached,impeached,impeaches
423,impede,impeded,impeded,impedes
424,impel,impelled,impelled,impels
425,impend,impended,impended,impends
426,imperil,imperilled,imperilled,imperils
427,impinge,impinged,impinged,impinges
428,implant,implanted,implanted,implants
429,implicate,implicated,implicated,implicates
430,implode,imploded,imploded,implodes
431,implore,implored,implored,implores
432,imply,implied,implied,implies
433,import,imported,imported,imports
434,impose,imposed,imposed,imposes
435,impress,impressed,impressed,impresses
436,imprint,imprinted,imprinted,imprints
437,imprison,imprisoned,imprisoned,imprisons
438,improve,improved,improved,improves
439,inaugurate,inaugurated,inaugurated,inaugurates
440,incise,incised,incised,incises
441,include,included,included,includes
442,increase,increased,increased,increases
443,inculcate,inculcated,inculcated,inculcates
444,indent,indented,indented,indents
445,indicate,indicated,indicated,indicates
446,induce,induced,induced,induces
447,indulge,indulged,indulged,indulges
448,infect,infected,infected,infects
449,infest,infested,infested,infests
450,inflame,inflamed,inflamed,inflames
451,inflate,inflated,inflated,inflates
452,inflect,inflected,inflected,inflects
453,inform,informed,informed,informs
454,infringe,infringed,infringed,infringes
455,infuse,infused,infused,infuses
456,ingest,ingested,ingested,ingests
457,inhabit,inhabited,inhabited,inhabits
458,inhale,inhaled,inhaled,inhales
459,inherit,inherited,inherited,inherits
460,initiate,initiated,initiated,initiates
461,inject,injected,injected,injects
462,injure,injured,injured,injures
463,inlay,inlaid,inlaid,inlays
464,innovate,innovated,innovated,innovates
465,input,input,input,inputs
466,inquire,inquired,inquired,inquires
467,inscribe,inscribed,inscribed,inscribes
468,insert,inserted,inserted,inserts
469,inspect,inspected,inspected,inspects
470,inspire,inspired,inspired,inspires
471,install,installed,installed,installs
472,insult,insulted,insulted,insults
473,insure,insured,insured,insures
474,integrate,integrated,integrated,integrates
475,introduce,introduced,introduced,introduces
476,invent,invented,invented,invents
477,invite,invited,invited,invites
478,join,joined,joined,joins
479,jump,jumped,jumped,jumps
480,justify,justified,justified,justifies
481,keep,kept,kept,keeps
482,kick,kicked,kicked,kicks
483,kid,kidded,kidded,kids
484,kill,killed,killed,kills
